y,n,p,m,log_n,r_2y_minus_log_n,K_center,K_tail_low,K_tail_high,term_center,term_tail_low,term_tail_high
1.25000000000000000000E+0,11,11,1,2.397895272798370544061943577965E+0,1.021047272016294559380564220349E-1,9.208798550771987951366240662667E-1,9.208573934932854062824156489107E-1,9.209023156810006516798592467959E-1,6.657893463638502513682991345224E-1,6.657731068042708551348924982059E-1,6.658055852148162352621661403185E-1
1.25000000000000000000E+0,13,13,1,2.564949357461536736053487441565E+0,-6.494935746153673605348744156532E-2,9.669863875071688201325828762621E-1,9.669712073779313160132312981482E-1,9.670015661751248628870408483354E-1,6.879034366225690161333067658865E-1,6.878926376462796250833509159250E-1,6.879142345593189140398724753962E-1
1.25000000000000000000E+0,16,2,4,2.772588722239781237668928485833E+0,-2.725887222397812376689284858327E-1,5.634630872482669468636742108035E-1,5.634268286016780942905199022219E-1,5.634993470214506450190090417299E-1,9.764071256893467671004632954730E-2,9.763442942427118105014610509224E-2,9.764699590882218258211040068026E-2
1.25000000000000000000E+0,17,17,1,2.833213344056216080249534617873E+0,-3.332133440562160802495346178731E-1,4.218821198241940594724597144285E-1,4.218475524012135420082730706562E-1,4.219166887815422705271652474949E-1,2.898984794563858034156864926329E-1,2.898747262729966763975614605715E-1,2.899222336941236226330776867150E-1
1.25000000000000000000E+0,19,19,1,2.944438979166440460009027431888E+0,-4.444389791664404600090274318879E-1,1.989828726485624081681337957009E-1,1.989574419807480601543514292681E-1,1.990083053767467573268736550485E-1,1.344130556825954245342479045123E-1,1.343958772504847740177534094601E-1,1.344302355064873072966483812029E-1
1.25000000000000000000E+0,23,23,1,3.135494215929149690806752831810E+0,-6.354942159291496908067528318102E-1,1.776574161267693360153895768148E-2,1.776074150246704112516886358021E-2,1.777074281260298020353687447089E-2,1.161516617034172654725440346915E-2,1.161189711959089935848334411166E-2,1.161843593354433225582444855212E-2
1.25000000000000000000E+0,25,5,2,3.218875824868200749201518666452E+0,-7.188758248682007492015186664524E-1,2.661455981772452776408448060101E-3,2.660317719563131780997317456406E-3,2.662594640635953645926555753133E-3,8.566896318678210988504537918332E-4,8.563232393970266568817114413510E-4,8.570561520166705837877729706356E-4
1.25000000000000000000E+0,27,3,3,3.295836866004329074185735710768E+0,-7.958368660043290741857357107676E-1,1.730628267102073616397188483865E-4,1.729439226044119137057770504469E-4,1.731818000813020253287525807434E-4,3.659033312891864940769790876626E-5,3.656519346765137497861789155099E-5,3.661548743481192906556858878518E-5
1.25000000000000000000E+0,29,29,1,3.367295829986474027183272032362E+0,-8.672958299864740271832720323619E-1,2.278663954103171539907000819921E-6,2.275813022843516530445614279723E-6,2.281518017914358109172887838258E-6,1.424828376733550656008882382629E-6,1.423045714682150485416676028835E-6,1.426612997541662499438775624508E-6
1.25000000000000000000E+0,31,31,1,3.433987204485146245929164324542E+0,-9.339872044851462459291643245424E-1,4.565001449092648355867630410403E-10,4.550799529427428972880677733842E-10,4.579243514707694261513475532328E-10,2.815520834411232068851721661756E-10,2.806761625646028402758605582355E-10,2.824304803685148447187717306272E-10
